GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Transactional Event Library Openliberty Tests,com.github.jonasrutishauser.transactional.event.liberty,DataSourceProvider,0,3,0,0,0,1,0,1,0,1
Transactional Event Library Openliberty Tests,com.github.jonasrutishauser.transactional.event.liberty,Messages,0,36,0,2,0,10,0,5,0,4
Transactional Event Library Openliberty Tests,com.github.jonasrutishauser.transactional.event.liberty,TestEventHandler,0,26,0,4,0,5,0,4,0,2
Transactional Event Library Openliberty Tests,com.github.jonasrutishauser.transactional.event.liberty,TestResource,0,15,0,0,0,4,0,3,0,3
Transactional Event Library Openliberty Tests,com.github.jonasrutishauser.transactional.event.liberty,TestEvent,0,9,0,0,0,4,0,2,0,2
Transactional Event Library Openliberty Tests,com.github.jonasrutishauser.transactional.event.liberty,TestApplication,0,3,0,0,0,1,0,1,0,1
